date,rank,twitter_extract_period,artist,song,rank_last_week,peak_rank,weeks_on_chart
9/5/20,1,,Cardi B Featuring Megan Thee Stallion,WAP,1,1,2
9/5/20,2,,Drake Featuring Lil Durk,Laugh Now Cry Later,0,2,1
9/5/20,3,,DaBaby Featuring Roddy Ricch,Rockstar,2,1,18
9/5/20,4,,The Weeknd,Blinding Lights,3,1,38
9/5/20,5,,"Jack Harlow Featuring DaBaby, Tory Lanez & Lil Wayne",Whats Poppin,4,2,28
9/5/20,6,,Morgan Wallen,7 Summers,0,6,1
9/5/20,7,,Harry Styles,Watermelon Sugar,5,1,22
9/5/20,8,,SAINt JHN,Roses,6,4,22
9/5/20,9,,Jawsh 685 x Jason Derulo,Savage Love (Laxed - Siren Beat),7,7,10
9/5/20,10,,Gabby Barrett Featuring Charlie Puth,I Hope,11,10,34
9/5/20,11,,Chris Brown & Young Thug,Go Crazy,9,9,15
9/5/20,12,,Lewis Capaldi,Before You Go,10,10,29
9/5/20,13,,Dua Lipa,Break My Heart,13,13,21
9/5/20,14,,Miley Cyrus,Midnight Sky,0,14,1
9/5/20,15,,Harry Styles,Adore You,14,6,37
9/5/20,16,,Post Malone,Circles,15,1,51
9/5/20,17,,Pop Smoke Featuring Lil Baby & DaBaby,For The Night,20,6,7
9/5/20,18,,Juice WRLD x Marshmello,Come & Go,18,2,6
9/5/20,19,,Pop Smoke Featuring Lil Tjay,Mood Swings,17,17,7
9/5/20,20,,Megan Thee Stallion,Savage,16,1,23
9/5/20,21,,DJ Khaled Featuring Drake,Popstar,23,3,5
9/5/20,22,,Rod Wave Featuring ATR Son Son,Rags2Riches,12,12,8
9/5/20,23,,Powfu Featuring beabadoobee,Death Bed,25,23,23
9/5/20,24,,Lil Mosey,Blueberry Faygo,19,8,28
9/5/20,25,,Maddie & Tae,Die From A Broken Heart,22,22,19
9/5/20,26,,24kGoldn Featuring iann dior,Mood,84,26,2
9/5/20,27,,Dua Lipa,Don't Start Now,26,2,42
9/5/20,28,,Pop Smoke Featuring 50 Cent & Roddy Ricch,The Woo,29,11,7
9/5/20,29,,Maren Morris,The Bones,28,12,48
9/5/20,30,,Luke Bryan,One Margarita,21,19,16
9/5/20,31,,Future Featuring Drake,Life Is Good,30,2,32
9/5/20,32,,Juice WRLD,Wishing Well,27,5,6
9/5/20,33,,Taylor Swift,Cardigan,24,1,4
9/5/20,34,,Kane Brown With Swae Lee & Khalid,Be Like That,37,34,6
9/5/20,35,,Juice WRLD & The Weeknd,Smile,8,8,2
9/5/20,36,,Morgan Wallen,Chasin' You,38,16,30
9/5/20,37,,Justin Bieber Featuring Quavo,Intentions,31,5,28
9/5/20,38,,Lil Baby & 42 Dugg,We Paid,32,10,16
9/5/20,39,,Kane Brown,Cool Again,40,39,12
9/5/20,40,,StaySolidRocky,Party Girl,34,21,17
9/5/20,41,,Saweetie,Tap In,44,41,6
9/5/20,42,,Megan Thee Stallion,Girls In The Hood,35,28,8
9/5/20,43,,Doja Cat Featuring Nicki Minaj,Say So,33,1,33
9/5/20,44,,Lady Gaga & Ariana Grande,Rain On Me,36,1,13
9/5/20,45,,Lil Baby,Emotionally Scarred,45,31,25
9/5/20,46,,Jason Aldean,Got What I Got,47,46,12
9/5/20,47,,Roddy Ricch,The Box,42,1,37
9/5/20,48,,JP Saxe Featuring Julia Michaels,If The World Was Ending,48,48,21
9/5/20,49,,Maroon 5,Nobody's Love,41,41,4
9/5/20,50,,Justin Moore,Why We Drink,52,50,12
9/5/20,51,,Lil Baby,The Bigger Picture,46,3,10
9/5/20,52,,Lee Brice,One Of Them Girls,59,52,12
9/5/20,53,,Luke Combs,Lovin' On You,56,53,8
9/5/20,54,,Billie Eilish,My Future,39,6,3
9/5/20,55,,Florida Georgia Line,I Love My Country,53,48,18
9/5/20,56,,Doja Cat Featuring Gucci Mane,Like That,54,51,12
9/5/20,57,,"Thomas Rhett Featuring Reba McEntire, Hillary Scott, Chris Tomlin & Keith Urban",Be A Light,63,57,20
9/5/20,58,,YoungBoy Never Broke Again,Kacey Talk,0,58,1
9/5/20,59,,Moneybagg Yo,Said Sum,57,44,7
9/5/20,60,,DJ Khaled Featuring Drake,Greece,58,8,5
9/5/20,61,,Conan Gray,Heather,0,61,1
9/5/20,62,,Morgan Wallen,More Than My Hometown,67,61,10
9/5/20,63,,Chris Janson,Done,49,41,10
9/5/20,64,,Miranda Lambert,Bluebird,55,26,20
9/5/20,65,,Dan + Shay,I Should Probably Go To Bed,60,43,3
9/5/20,66,,Internet Money & Gunna Featuring Don Toliver & NAV,Lemonade,0,66,1
9/5/20,67,,Taylor Swift,The 1,50,4,4
9/5/20,68,,"J Balvin, Dua Lipa, Bad Bunny & Tainy",Un Dia (One Day),64,63,4
9/5/20,69,,AJR,Bang!,69,69,7
9/5/20,70,,Keith Urban,God Whispered Your Name,66,60,18
9/5/20,71,,Money Man Featuring Lil Baby,24,0,71,1
9/5/20,72,,Drake,Toosie Slide,68,1,20
9/5/20,73,,Topic & A7S,Breaking Me,72,72,4
9/5/20,74,,HARDY Featuring Lauren Alaina & Devin Dawson,One Beer,81,74,11
9/5/20,75,,Rod Wave,Girl Of My Dreams,65,65,14
9/5/20,76,,Ava Max,Kings & Queens,73,73,2
9/5/20,77,,Parker McCollum,Pretty Heart,77,77,6
9/5/20,78,,Tim McGraw,I Called Mama,89,78,3
9/5/20,79,,Gunna Featuring Young Thug,Dollaz On My Head,74,38,11
9/5/20,80,,Ashley McBryde,One Night Standards,76,76,11
9/5/20,81,,surf mesa Featuring Emilee,ily,78,72,13
9/5/20,82,,Taylor Swift Featuring Bon Iver,Exile,61,6,4
9/5/20,83,,Polo G,Martin & Gina,0,61,3
9/5/20,84,,Blake Shelton Featuring Gwen Stefani,Happy Anywhere,87,56,4
9/5/20,85,,Pop Smoke,Got It On Me,75,31,7
9/5/20,86,,Jameson Rodgers,Some Girls,92,86,2
9/5/20,87,,"Black Eyed Peas, Ozuna + J.Rey Soul",Mamacita,70,62,11
9/5/20,88,,Don Toliver,After Party,90,57,17
9/5/20,89,,Lil Durk Featuring Lil Baby & Polo G,3 Headed Goat,94,43,9
9/5/20,90,,Ariana Grande & Justin Bieber,Stuck With U,79,1,15
9/5/20,91,,Juice WRLD,Conversations,83,7,6
9/5/20,92,,Ozuna x Karol G x Myke Towers,Caramelo,0,92,1
9/5/20,93,,Juice WRLD & Marshmello Featuring Polo G & The Kid LAROI,Hate The Other Side,80,10,6
9/5/20,94,,Nio Garcia x Anuel AA x Myke Towers x Brray x Juanka,La Jeepeta,93,93,2
9/5/20,95,,Mulatto,B*tch From da Souf,95,95,2
9/5/20,96,,Juice WRLD,Righteous,91,11,16
9/5/20,97,,Trevor Daniel x Selena Gomez,Past Life,98,77,5
9/5/20,98,,Pop Smoke,Something Special,88,41,7
9/5/20,99,,Polo G,21,0,62,7
9/5/20,100,,Chase Rice,Lonely If You Are,0,100,1
9/12/20,1,,BTS,Dynamite,0,1,1
9/12/20,2,,Cardi B Featuring Megan Thee Stallion,WAP,1,1,3
9/12/20,3,,Drake Featuring Lil Durk,Laugh Now Cry Later,2,2,2
9/12/20,4,,DaBaby Featuring Roddy Ricch,Rockstar,3,1,19
9/12/20,5,,The Weeknd,Blinding Lights,4,1,39
9/12/20,6,,"Jack Harlow Featuring DaBaby, Tory Lanez & Lil Wayne",Whats Poppin,5,2,29
9/12/20,7,,Harry Styles,Watermelon Sugar,7,1,23
9/12/20,8,,SAINt JHN,Roses,8,4,23
9/12/20,9,,Jawsh 685 x Jason Derulo,Savage Love (Laxed - Siren Beat),9,7,11
9/12/20,10,,Lewis Capaldi,Before You Go,12,10,30
9/12/20,11,,Gabby Barrett Featuring Charlie Puth,I Hope,10,10,35
9/12/20,12,,24kGoldn Featuring iann dior,Mood,26,12,3
9/12/20,13,,Chris Brown & Young Thug,Go Crazy,11,9,16
9/12/20,14,,Dua Lipa,Break My Heart,13,13,22
9/12/20,15,,Pop Smoke Featuring Lil Baby & DaBaby,For The Night,17,6,8
9/12/20,16,,Post Malone,Circles,16,1,52
9/12/20,17,,Harry Styles,Adore You,15,6,38
9/12/20,18,,Pop Smoke Featuring Lil Tjay,Mood Swings,19,17,8
9/12/20,19,,Juice WRLD x Marshmello,Come & Go,18,2,7
9/12/20,20,,Megan Thee Stallion,Savage,20,1,24
9/12/20,21,,DJ Khaled Featuring Drake,Popstar,21,3,6
9/12/20,22,,Maddie & Tae,Die From A Broken Heart,25,22,20
9/12/20,23,,Pop Smoke Featuring 50 Cent & Roddy Ricch,The Woo,28,11,8
9/12/20,24,,Powfu Featuring beabadoobee,Death Bed,23,23,24
9/12/20,25,,Maren Morris,The Bones,29,12,49
9/12/20,26,,Kane Brown With Swae Lee & Khalid,Be Like That,34,26,7
9/12/20,27,,Dua Lipa,Don't Start Now,27,2,43
9/12/20,28,,Rod Wave Featuring ATR Son Son,Rags2Riches,22,12,9
9/12/20,29,,Lil Mosey,Blueberry Faygo,24,8,29
9/12/20,30,,Luke Combs,Lovin' On You,53,30,9
9/12/20,31,,Saweetie,Tap In,41,31,7
9/12/20,32,,Juice WRLD,Wishing Well,32,5,7
9/12/20,33,,Jason Aldean,Got What I Got,46,33,13
9/12/20,34,,JP Saxe Featuring Julia Michaels,If The World Was Ending,48,34,22
9/12/20,35,,Future Featuring Drake,Life Is Good,31,2,33
9/12/20,36,,Taylor Swift,Cardigan,33,1,5
9/12/20,37,,Luke Bryan,One Margarita,30,19,17
9/12/20,38,,Morgan Wallen,7 Summers,6,6,2
9/12/20,39,,Kane Brown,Cool Again,39,39,13
9/12/20,40,,Florida Georgia Line,I Love My Country,55,40,19
9/12/20,41,,Miley Cyrus,Midnight Sky,14,14,2
9/12/20,42,,Justin Bieber Featuring Quavo,Intentions,37,5,29
9/12/20,43,,Morgan Wallen,Chasin' You,36,16,31
9/12/20,44,,Lil Baby & 42 Dugg,We Paid,38,10,17
9/12/20,45,,Megan Thee Stallion,Girls In The Hood,42,28,9
9/12/20,46,,Lee Brice,One Of Them Girls,52,46,13
9/12/20,47,,Doja Cat Featuring Nicki Minaj,Say So,43,1,34
9/12/20,48,,Roddy Ricch,The Box,47,1,38
9/12/20,49,,Maroon 5,Nobody's Love,49,41,5
9/12/20,50,,Conan Gray,Heather,61,50,2
9/12/20,51,,"Thomas Rhett Featuring Reba McEntire, Hillary Scott, Chris Tomlin & Keith Urban",Be A Light,57,51,21
9/12/20,52,,Juice WRLD & The Weeknd,Smile,35,8,3
9/12/20,53,,StaySolidRocky,Party Girl,40,21,18
9/12/20,54,,Lil Baby,The Bigger Picture,51,3,11
9/12/20,55,,Lady Gaga & Ariana Grande,Rain On Me,44,1,14
9/12/20,56,,Doja Cat Featuring Gucci Mane,Like That,56,51,13
9/12/20,57,,Billie Eilish,My Future,54,6,4
9/12/20,58,,Moneybagg Yo,Said Sum,59,44,8
9/12/20,59,,Dan + Shay,I Should Probably Go To Bed,65,43,4
9/12/20,60,,Justin Moore,Why We Drink,50,50,13
9/12/20,61,,Tim McGraw,I Called Mama,78,61,4
9/12/20,62,,DJ Khaled Featuring Drake,Greece,60,8,6
9/12/20,63,,Money Man Featuring Lil Baby,24,71,63,2
9/12/20,64,,AJR,Bang!,69,64,8
9/12/20,65,,YoungBoy Never Broke Again,Kacey Talk,58,58,2
9/12/20,66,,Internet Money & Gunna Featuring Don Toliver & NAV,Lemonade,66,66,2
9/12/20,67,,Morgan Wallen,More Than My Hometown,62,61,11
9/12/20,68,,Keith Urban,God Whispered Your Name,70,60,19
9/12/20,69,,Migos Featuring YoungBoy Never Broke Again,Need It,0,62,13
9/12/20,70,,"J Balvin, Dua Lipa, Bad Bunny & Tainy",Un Dia (One Day),68,63,5
9/12/20,71,,Topic & A7S,Breaking Me,73,71,5
9/12/20,72,,HARDY Featuring Lauren Alaina & Devin Dawson,One Beer,74,72,12
9/12/20,73,,Ava Max,Kings & Queens,76,73,3
9/12/20,74,,Travis Scott,The Plan,0,74,1
9/12/20,75,,Parker McCollum,Pretty Heart,77,75,7
