,pop
0,1
3,1
5,1
6,1
7,1
11,1
12,1
13,1
14,1
15,1
19,1
20,2
23,2
26,2
28,2
29,2
31,2
32,2
35,2
36,2
38,2
39,2
40,3
41,3
44,3
46,3
48,3
49,3
50,3
51,3
52,3
53,3
60,4
61,4
62,4
63,4
64,4
66,4
68,4
69,4
71,4
84,5
85,5
87,5
90,5
96,5
97,5
98,5
99,5
100,1
102,1
104,1
106,1
107,1
108,1
109,1
113,1
115,1
116,1
119,1
120,2
124,2
126,2
128,2
129,2
130,2
131,2
132,2
135,2
136,2
137,2
138,2
139,2
140,3
142,3
144,3
145,3
147,3
148,3
149,3
152,3
153,3
156,3
157,3
158,3
159,3
161,4
166,4
167,4
173,4
177,4
179,4
184,5
187,5
190,5
198,5
199,5
200,1
204,1
205,1
209,1
210,1
212,1
214,1
215,1
217,1
220,2
222,2
223,2
225,2
226,2
227,2
229,2
230,2
232,2
234,2
236,2
239,2
240,3
242,3
243,3
244,3
246,3
247,3
250,3
251,3
252,3
254,3
255,3
256,3
257,3
263,4
265,4
272,4
273,4
275,4
277,4
281,5
291,5
296,5
297,5
298,5
301,1
304,1
306,1
310,1
312,1
315,1
316,1
317,1
319,1
321,2
322,2
324,2
325,2
327,2
331,2
333,2
335,2
340,3
342,3
343,3
344,3
345,3
348,3
350,3
351,3
355,3
357,3
360,4
361,4
362,4
369,4
370,4
371,4
379,4
382,5
383,5
385,5
386,5
388,5
389,5
391,5
392,5
393,5
395,5
396,5
400,1
401,1
404,1
406,1
408,1
413,1
415,1
417,1
418,1
419,1
420,2
423,2
427,2
430,2
433,2
438,2
439,2
440,3
441,3
442,3
449,3
450,3
451,3
452,3
459,3
460,4
462,4
463,4
466,4
470,4
482,5
485,5
488,5
489,5
494,5
495,5
499,5
500,1
505,1
506,1
507,1
508,1
510,1
513,1
516,1
517,1
520,2
522,2
523,2
524,2
527,2
531,2
532,2
533,2
538,2
542,3
544,3
547,3
548,3
549,3
550,3
553,3
555,3
558,3
565,4
567,4
568,4
571,4
572,4
576,4
578,4
581,5
582,5
584,5
587,5
601,1
603,1
605,1
608,1
610,1
616,1
617,1
620,2
621,2
623,2
624,2
629,2
631,2
632,2
633,2
635,2
638,2
639,2
641,3
642,3
644,3
645,3
649,3
650,3
652,3
659,3
663,4
664,4
667,4
669,4
671,4
673,4
678,4
679,4
686,5
688,5
694,5
696,5
701,1
702,1
704,1
705,1
710,1
712,1
717,1
719,1
720,2
721,2
727,2
728,2
730,2
734,2
736,2
738,2
743,3
746,3
750,3
752,3
754,3
758,3
761,4
762,4
763,4
766,4
767,4
768,4
769,4
774,4
776,4
779,4
780,5
782,5
788,5
789,5
792,5
793,5
794,5
797,5
801,1
803,1
804,1
808,1
810,1
811,1
813,1
815,1
816,1
818,1
821,2
824,2
825,2
826,2
828,2
830,2
832,2
834,2
841,3
843,3
845,3
846,3
849,3
851,3
858,3
859,3
863,4
867,4
868,4
876,4
877,4
884,5
886,5
891,5
892,5
897,5
899,5
901,1
903,1
906,1
910,1
911,1
915,1
916,1
918,1
920,2
922,2
924,2
925,2
927,2
928,2
929,2
930,2
932,2
933,2
935,2
944,3
947,3
952,3
954,3
956,3
959,3
960,4
963,4
964,4
971,4
974,4
976,4
978,4
980,5
987,5
991,5
999,5
1000,1
1004,1
1010,1
1011,1
1012,1
1014,1
1016,1
1017,1
1020,2
1022,2
1025,2
1027,2
1028,2
1030,2
1031,2
1032,2
1033,2
1036,2
1037,2
1038,2
1042,3
1043,3
1055,3
1057,3
1058,3
1059,3
1061,4
1062,4
1064,4
1068,4
1069,4
1070,4
1073,4
1079,4
1081,5
1084,5
1086,5
1091,5
1092,5
1094,5
1095,5
1097,5
1099,5
1101,1
1103,1
1107,1
1109,1
1113,1
1115,1
1116,1
1125,2
1127,2
1129,2
1132,2
1136,2
1139,2
1143,3
1144,3
1147,3
1148,3
1149,3
1153,3
1162,4
1163,4
1164,4
1168,4
1169,4
1170,4
1172,4
1175,4
1179,4
1181,5
1183,5
1185,5
1187,5
1188,5
1193,5
1194,5
1198,5
1201,1
1204,1
1215,1
1216,1
1217,1
1218,1
1221,2
1223,2
1226,2
1227,2
1228,2
1229,2
1231,2
1233,2
1235,2
1236,2
1238,2
1239,2
1242,3
1243,3
1244,3
1245,3
1247,3
1248,3
1256,3
1257,3
1262,4
1274,4
1277,4
1278,4
1281,5
1285,5
1287,5
1293,5
1295,5
1296,5
1297,5
3170,0
4462,0
6624,0
8269,0
8415,0
9329,0
9507,0
989,0
1260,0
1646,0
3969,0
4731,0
4737,0
4741,0
4732,0
5043,0
6155,0
6160,0
6171,0
7851,0
8880,0
986,0
987,0
2572,0
3171,0
6164,0
8270,0
8887,0
1650,0
2573,0
2676,0
4730,0
5120,0
5390,0
5882,0
0,0
985,0
2508,0
2574,0
2577,0
2678,0
3474,0
1,0
1644,0
1645,0
2677,0
4734,0
4742,0
6158,0
2,0
988,0
1262,0
2575,0
4735,0
4739,0
6625,0
2240,0
3272,0
5118,0
5389,0
6161,0
6439,0
6483,0
1259,0
1648,0
3271,0
6169,0
6631,0
8413,0
8892,0
2552,0
2576,0
5088,0
6166,0
6623,0
6629,0
6630,0
1258,0
1261,0
1643,0
1647,0
3970,0
4743,0
5121,0
1257,0
1312,0
3270,0
3966,0
4736,0
4740,0
5119,0
