,weeks,song_name,artist_name,url_avg,et_url_avg,display_url_avg,hashtag_avg,et_hashtag_avg,avg_followers,avg_friends,avg_listed,sum_trunc,sum_http,avg_tokens,avg_char,avg_senti,avg_emoji_count,tweets_count
0,1.0,,Luke Combs,0.12423625254582485,0.016293279022403257,0.12423625254582485,0.07739307535641547,0.09368635437881874,2618.6048879837067,538.959266802444,9.84521384928717,29,197,15.59674134419552,88.77800407331975,0.15428452231672776,0.19144602851323828,491
1,1.0,,Fleetwood Mac,0.14655716993051168,0.025900189513581806,0.14655716993051168,0.06506632975363234,0.029058749210360075,1634.7384712571068,1083.8559696778268,19.979153506001264,94,802,14.161086544535692,91.29879974731523,0.27725318595249293,0.17182564750473783,1583
2,1.0,,Dean Martin,0.42962962962962964,0.044444444444444446,0.42962962962962964,0.14814814814814814,0.05185185185185185,1749.3925925925926,1720.962962962963,57.57037037037037,17,76,18.16296296296296,109.44444444444444,0.13721629808898325,0.15555555555555556,135
3,4.0,,Chris Brown,0.08866257301183166,0.015276321701362887,0.08866257301183166,0.05346712595477011,0.03579451849633069,1671.597573760671,1016.8948629624083,7.196046128500824,321,1567,17.093305376666166,96.58634117118466,-0.23668053924638605,0.1756776995656732,6677
4,4.0,Better,BTS,0.0375,0.004166666666666667,0.0375,0.025,0.004166666666666667,801.1354166666666,791.7229166666667,6.772916666666666,16,23,20.6125,117.1875,0.3047908358693045,0.04791666666666667,480
5,4.0,,Paul McCartney,0.26605504587155965,0.0563564875491481,0.26605504587155965,0.22018348623853212,0.09174311926605505,2120.3643512450853,1832.6697247706422,32.040629095674966,74,458,16.595019659239842,103.23722149410223,0.11486159825787866,0.1258191349934469,763
6,3.0,Spicy,Travis Scott,0.0,0.0,0.0,0.0,0.0,23.0,227.0,0.0,0,0,14.0,95.0,0.0,0.0,1
7,3.0,GO,Ozuna,0.15151515151515152,0.030303030303030304,0.15151515151515152,0.7575757575757576,0.09090909090909091,33259.606060606064,674.8484848484849,20.757575757575758,1,5,19.515151515151516,127.87878787878788,0.13109394027428192,0.2727272727272727,33
8,7.0,GO,BLACKPINK,0.08524069555787925,0.0034080786956353355,0.08524069555787925,2.519693272917393,0.21753611401572365,590.6041981333024,516.4100151039851,2.642655203129236,1803,5668,17.87858719646799,122.31284613299252,0.1387503601808703,0.25734866968746367,25821
9,7.0,Ew,Ty Dolla $ign,0.3170731707317073,0.12195121951219512,0.3170731707317073,0.7560975609756098,0.2926829268292683,44799.9756097561,4134.170731707317,74.63414634146342,4,16,19.536585365853657,130.1219512195122,0.4297024355065532,0.0975609756097561,41
